clause,risk_level,risk_explanation,plain_english,error
"10.2 Right to inspect and request information. During the Term, Franchisor shall have the right to conduct audits of Franchisee with respect to the Smaaash Centres, and inspect the Smaaash Centres, after providing a written notice of 5 (five) days. Franchisee shall be under an obligation to provide any information as may be requested by Franchisor with respect to the Smaaash Centres, including the books of accounts and other relevant documents or records maintained in relation to the Smaaash Centres.",Medium,"This clause grants the Franchisor broad audit and inspection rights with only five days' notice, and obligates the Franchisee to provide any requested information, including financial records. This ensures Franchisor oversight but can be intrusive for the Franchisee.","The Franchisor can audit and inspect the Franchisee's Smaaash Centers and request any related information, including financial records, with five days' written notice.",
"10.3 Insurance. During the Term, Franchisee shall maintain policies of insurance as may be requested by Franchisor, subject to applicable law, in relation to the Smaaash Centres.",Medium,"This clause obligates the Franchisee to maintain insurance policies as requested by the Franchisor, which could lead to unexpected costs or requirements if the Franchisor demands extensive coverage. While standard, the open-ended nature of 'as may be requested' places the burden on the Franchisee.","The Franchisee must keep insurance policies for the Smaaash Centers as requested by the Franchisor, as long as it complies with the law.",
"10.4 Representations and warranties. Each of the parties represents and warrants to the other party that, (i) the Agreement constitutes a valid, legal and binding obligation of such party and is enforceable against such party in accordance with its terms, (ii) it has the power and authority to execute the Agreement and perform all its terms, and (iii) the execution and performance of this Agreement shall not violate any charter documents of such party, contravene any provisions of law as applicable to such party (including any order, decree, injunction of any competent court) or conflict with the provisions of any material agreement or contract executed by such party. The provisions of this Section 10.4 shall survive the termination of this Agreement.",Low,"This clause contains standard mutual representations and warranties regarding the parties' legal capacity, authority, and non-violation of other agreements or laws. This ensures both parties are legally able to enter and perform the contract, and these provisions survive termination.","Both parties promise that this agreement is legally binding, they have the authority to sign and fulfill it, and doing so won't break any of their company rules, laws, or other important contracts. These promises remain true even after the agreement ends.",
"10.5 Governing Law. (a) The parties hereto have expressly agreed that this Agreement shall be governed by, and construed in accordance with, the laws of the State of New York, applicable to contracts executed and fully to be performed therein, to the exclusion of any other applicable body of governing law.",Low,"This clause clearly designates New York State law as the governing law for the agreement, providing certainty and predictability in legal interpretation. This is a standard and important choice of law provision.","Both parties agree that this agreement will be interpreted and governed by the laws of New York State, and no other laws will apply.",
"(b) Except as hereafter provided, the parties hereby consent to the jurisdiction of the New York State Supreme Court, County of New York or in the United States District Court for the Southern District of New York to resolve any dispute arising under this Agreement.",Low,"This clause establishes the exclusive jurisdiction for dispute resolution in New York State courts, providing a clear forum for any legal actions. This is a standard and important choice of forum provision.","Unless stated otherwise later, both parties agree that any disagreements about this agreement will be handled by the New York State Supreme Court in New York County or the U.S. District Court for the Southern District of New York.",
"(c) In the event of any litigation or other action arising out of this Agreement, the court shall award to the substantially prevailing party all reasonable costs and expenses including reasonable attorney’s fees.",Low,This clause provides for the recovery of legal costs and attorney's fees by the substantially prevailing party in any dispute. This is a standard provision that can incentivize settlement and deter frivolous litigation.,"If there's a lawsuit or other legal action related to this agreement, the party who mostly wins the case will be awarded all reasonable costs and attorney's fees.",
"10.6 WAIVER OF JURY. THE PARTIES HEREBY WAIVE ANY RIGHT TO TRIAL BY JURY IN ANY PROCEEDING ARISING OUT OF OR RELATING TO THIS AGREEMENT OR ANY OF THE TRANSACTIONS CONTEMPLATED UNDER THIS AGREEMENT, WHETHER NOW OR EXISTING OR HEREAFTER ARISING, AND WHETHER SOUNDING IN CONTRACT, TORT OR OTHERWISE. THE PARTIES AGREE THAT ANY OF THEM MAY FILE A COPY OF THIS SECTION WITH ANY COURT AS WRITTEN EVIDENCE OF THE KNOWING, VOLUNTARY AND BARGAINED FOR AGREEMENT AMONG THE PARTIES IRREVOCABLY TO WAIVE THE TRIAL BY JURY COURT, AND THAT ANY PROCEEDINGS WHATSOEVER BETWEEN THEM RELATING TO THIS AGREEMENT SHALL INSTEAD BE TRIED IN A COURT OF COMPETENT JURISDICTION BY A JUDGE SITTING WITHOUT A JURY.",Medium,"This clause is a significant waiver of the right to a jury trial, meaning any disputes will be decided by a judge. While common in commercial contracts, it removes a fundamental legal right and can alter the dynamics of litigation.","Both parties give up their right to have a jury decide any legal disputes related to this agreement. Instead, all such cases will be heard and decided by a judge without a jury.",
"10.7 Force Majeure. The parties will not be liable to each other for any failure or delay in performance, other than failure to make timely payments due under this Agreement, if it is because of earthquake, flood, fire, acts of God, civil unrest, terrorism, acts of any governmental authority or any other reason beyond the reasonable control of either or both of the parties (“Force Majeure”). However, either party may terminate this Agreement by and upon notice to the other if the other is unable to perform any of its material obligations for a period of thirty (30) days by reason of a Force Majeure.",Low,"This clause provides standard force majeure protection, excusing non-performance (except for payments) due to uncontrollable events. It also includes a termination right if a material obligation is affected for 30 days, offering a clear exit strategy in prolonged force majeure situations.","Neither party will be held responsible for delays or failures (except for payments) caused by events beyond their control, like natural disasters or government actions. However, if one party cannot perform its main duties for 30 days due to such an event, the other party can end the agreement.",
"10.8 No Joint Venture. Nothing herein is intended to constitute the parties as partners or as joint venturers, or either as agent of the other, and neither party may obligate or bind the other.",Low,"This is a standard 'no partnership/joint venture' clause, explicitly stating that the parties are independent contractors and not agents of each other. This is important for limiting liability and maintaining distinct legal identities.","This agreement does not create a partnership or joint venture between the parties, nor does it make one party an agent of the other. Neither party can legally commit the other.",
"10.9 Headings, Definitions and other particulars. Headings and titles of sections and/or paragraphs are for convenience only. The definitions in this Agreement shall apply equally to both the singular and plural forms of the terms defined. Whenever the context may require, any pronoun shall include the corresponding masculine, feminine and neuter forms. The use of “including” in this Agreement shall be construed as illustrative.",Informational,"This is a standard boilerplate clause clarifying how headings, definitions, and certain linguistic conventions (singular/plural, pronouns, 'including') should be interpreted within the agreement. It aids in consistent understanding.","The headings in this agreement are just for convenience. Definitions apply to both singular and plural forms, pronouns cover all genders, and the word 'including' means 'for example,' not 'only.'",
"10.10 Amendment. This Agreement shall, from the Effective Date, bind the parties to the terms herein and cannot be amended without the consent of the parties. Further, this Agreement cannot be terminated by any party except in accordance with Clause 8 of this Agreement.",Low,"This clause clearly states that the agreement is binding from the effective date, requires mutual consent for amendments, and restricts termination solely to the methods outlined in Clause 8. This provides stability and clarity regarding changes and termination.","This agreement is binding from its start date and can only be changed if both parties agree. Also, neither party can end this agreement unless it's done exactly as described in Clause 8.",
"10.11 Assignment. The Franchisor shall be entitled to assign, transfer, encumber or dispose of any of its rights and or obligations under this Agreement, including to an affiliate, without the prior written consent of the Franchisee. The Franchisee shall not be entitled to assign, transfer, encumber or dispose of any of its rights and or obligations under this Agreement, including to an affiliate, without the prior written consent of the Franchisor.",Medium,"This clause creates an imbalance in assignment rights: the Franchisor can assign its rights and obligations without Franchisee consent, but the Franchisee cannot do so without Franchisor's prior written consent. This gives the Franchisor significant flexibility while restricting the Franchisee.","The Franchisor can transfer its rights and duties under this agreement to another party, even a related company, without asking the Franchisee for permission. However, the Franchisee cannot transfer its rights or duties without first getting written approval from the Franchisor.",
10.12 Expenses. The Franchisee shall bear all the costs and expenses in relation to the execution of this Agreement and the consummation of all the transactions hereunder.,High,This clause places the entire burden of all costs and expenses related to the agreement's execution and transactions solely on the Franchisee. This can represent a significant and potentially open-ended financial obligation for the Franchisee.,The Franchisee is responsible for paying all costs and expenses related to signing this agreement and completing all the business deals mentioned in it.,
"10.13 Counterparts. This Agreement may be executed in two (2) or more counterparts, each of which shall be deemed an original, but all of which shall constitute one and the same instrument. The delivery of signed counterparts by facsimile transmission or electronic mail in “portable document format” (“.pdf”) shall be as effective as signing and delivering the document in person.",Low,This is a standard boilerplate clause allowing the agreement to be signed in multiple identical copies and accepting electronic delivery of signatures. This facilitates execution when parties are not in the same location.,"This agreement can be signed in multiple identical copies, each considered an original, and sending signed copies by fax or PDF email is as valid as signing and delivering them in person.",
